,id,question,context,answer_start,text,context_id
78735,573437504776f41900661a93,What neighborhood is located in between Church and Shockoe Hill?,"Richmond's original street grid, laid out in 1737, included the area between what are now Broad, 17th, and 25th Streets and the James River. Modern Downtown Richmond is located slightly farther west, on the slopes of Shockoe Hill. Nearby neighborhoods include Shockoe Bottom, the historically significant and low-lying area between Shockoe Hill and Church Hill, and Monroe Ward, which contains the Jefferson Hotel. Richmond's East End includes neighborhoods like rapidly gentrifying Church Hill, home to St. John's Church, as well as poorer areas like Fulton, Union Hill, and Fairmont, and public housing projects like Mosby Court, Whitcomb Court, Fairfield Court, and Creighton Court closer to Interstate 64.",260,Shockoe Bottom,17001
78736,573437504776f41900661a94,What Richmond neighborhood is home to the Jefferson Hotel?,"Richmond's original street grid, laid out in 1737, included the area between what are now Broad, 17th, and 25th Streets and the James River. Modern Downtown Richmond is located slightly farther west, on the slopes of Shockoe Hill. Nearby neighborhoods include Shockoe Bottom, the historically significant and low-lying area between Shockoe Hill and Church Hill, and Monroe Ward, which contains the Jefferson Hotel. Richmond's East End includes neighborhoods like rapidly gentrifying Church Hill, home to St. John's Church, as well as poorer areas like Fulton, Union Hill, and Fairmont, and public housing projects like Mosby Court, Whitcomb Court, Fairfield Court, and Creighton Court closer to Interstate 64.",366,Monroe Ward,17001
78737,573437504776f41900661a95,What neighborhood of Richmond contains St. John's Church?,"Richmond's original street grid, laid out in 1737, included the area between what are now Broad, 17th, and 25th Streets and the James River. Modern Downtown Richmond is located slightly farther west, on the slopes of Shockoe Hill. Nearby neighborhoods include Shockoe Bottom, the historically significant and low-lying area between Shockoe Hill and Church Hill, and Monroe Ward, which contains the Jefferson Hotel. Richmond's East End includes neighborhoods like rapidly gentrifying Church Hill, home to St. John's Church, as well as poorer areas like Fulton, Union Hill, and Fairmont, and public housing projects like Mosby Court, Whitcomb Court, Fairfield Court, and Creighton Court closer to Interstate 64.",483,Church Hill,17001
78738,573437504776f41900661a96,What is Fairfield Court?,"Richmond's original street grid, laid out in 1737, included the area between what are now Broad, 17th, and 25th Streets and the James River. Modern Downtown Richmond is located slightly farther west, on the slopes of Shockoe Hill. Nearby neighborhoods include Shockoe Bottom, the historically significant and low-lying area between Shockoe Hill and Church Hill, and Monroe Ward, which contains the Jefferson Hotel. Richmond's East End includes neighborhoods like rapidly gentrifying Church Hill, home to St. John's Church, as well as poorer areas like Fulton, Union Hill, and Fairmont, and public housing projects like Mosby Court, Whitcomb Court, Fairfield Court, and Creighton Court closer to Interstate 64.",590,public housing projects,17001
78739,573437504776f41900661a97,In what year was the Richmond street grid first developed?,"Richmond's original street grid, laid out in 1737, included the area between what are now Broad, 17th, and 25th Streets and the James River. Modern Downtown Richmond is located slightly farther west, on the slopes of Shockoe Hill. Nearby neighborhoods include Shockoe Bottom, the historically significant and low-lying area between Shockoe Hill and Church Hill, and Monroe Ward, which contains the Jefferson Hotel. Richmond's East End includes neighborhoods like rapidly gentrifying Church Hill, home to St. John's Church, as well as poorer areas like Fulton, Union Hill, and Fairmont, and public housing projects like Mosby Court, Whitcomb Court, Fairfield Court, and Creighton Court closer to Interstate 64.",45,1737,17001
78740,57343a9f4776f41900661aa7,The neighborhood of Newtowne West is north of what street?,"The area between Belvidere Street, Interstate 195, Interstate 95, and the river, which includes Virginia Commonwealth University, is socioeconomically and architecturally diverse. North of Broad Street, the Carver and Newtowne West neighborhoods are demographically similar to neighboring Jackson Ward, with Carver experiencing some gentrification due to its proximity to VCU. The affluent area between the Boulevard, Main Street, Broad Street, and VCU, known as the Fan, is home to Monument Avenue, an outstanding collection of Victorian architecture, and many students. West of the Boulevard is the Museum District, the location of the Virginia Historical Society and the Virginia Museum of Fine Arts. South of the Downtown Expressway are Byrd Park, Maymont, Hollywood Cemetery, the predominantly black working class Randolph neighborhood, and white working class Oregon Hill. Cary Street between Interstate 195 and the Boulevard is a popular commercial area called Carytown.",189,Broad,17002
78741,57343a9f4776f41900661aa8,"Along with Newtowne West, to what neighborhood is Carver regarded as having comparable demographics?","The area between Belvidere Street, Interstate 195, Interstate 95, and the river, which includes Virginia Commonwealth University, is socioeconomically and architecturally diverse. North of Broad Street, the Carver and Newtowne West neighborhoods are demographically similar to neighboring Jackson Ward, with Carver experiencing some gentrification due to its proximity to VCU. The affluent area between the Boulevard, Main Street, Broad Street, and VCU, known as the Fan, is home to Monument Avenue, an outstanding collection of Victorian architecture, and many students. West of the Boulevard is the Museum District, the location of the Virginia Historical Society and the Virginia Museum of Fine Arts. South of the Downtown Expressway are Byrd Park, Maymont, Hollywood Cemetery, the predominantly black working class Randolph neighborhood, and white working class Oregon Hill. Cary Street between Interstate 195 and the Boulevard is a popular commercial area called Carytown.",289,Jackson Ward,17002
78742,57343a9f4776f41900661aa9,What Richmond street contains a notable amount of Victorian buildings?,"The area between Belvidere Street, Interstate 195, Interstate 95, and the river, which includes Virginia Commonwealth University, is socioeconomically and architecturally diverse. North of Broad Street, the Carver and Newtowne West neighborhoods are demographically similar to neighboring Jackson Ward, with Carver experiencing some gentrification due to its proximity to VCU. The affluent area between the Boulevard, Main Street, Broad Street, and VCU, known as the Fan, is home to Monument Avenue, an outstanding collection of Victorian architecture, and many students. West of the Boulevard is the Museum District, the location of the Virginia Historical Society and the Virginia Museum of Fine Arts. South of the Downtown Expressway are Byrd Park, Maymont, Hollywood Cemetery, the predominantly black working class Randolph neighborhood, and white working class Oregon Hill. Cary Street between Interstate 195 and the Boulevard is a popular commercial area called Carytown.",483,Monument Avenue,17002
78743,57343a9f4776f41900661aaa,In what part of Richmond is the Virginia Museum of Fine Arts found?,"The area between Belvidere Street, Interstate 195, Interstate 95, and the river, which includes Virginia Commonwealth University, is socioeconomically and architecturally diverse. North of Broad Street, the Carver and Newtowne West neighborhoods are demographically similar to neighboring Jackson Ward, with Carver experiencing some gentrification due to its proximity to VCU. The affluent area between the Boulevard, Main Street, Broad Street, and VCU, known as the Fan, is home to Monument Avenue, an outstanding collection of Victorian architecture, and many students. West of the Boulevard is the Museum District, the location of the Virginia Historical Society and the Virginia Museum of Fine Arts. South of the Downtown Expressway are Byrd Park, Maymont, Hollywood Cemetery, the predominantly black working class Randolph neighborhood, and white working class Oregon Hill. Cary Street between Interstate 195 and the Boulevard is a popular commercial area called Carytown.",601,Museum District,17002
78744,57343a9f4776f41900661aab,What is the primary race of the population of the Randolph neighborhood?,"The area between Belvidere Street, Interstate 195, Interstate 95, and the river, which includes Virginia Commonwealth University, is socioeconomically and architecturally diverse. North of Broad Street, the Carver and Newtowne West neighborhoods are demographically similar to neighboring Jackson Ward, with Carver experiencing some gentrification due to its proximity to VCU. The affluent area between the Boulevard, Main Street, Broad Street, and VCU, known as the Fan, is home to Monument Avenue, an outstanding collection of Victorian architecture, and many students. West of the Boulevard is the Museum District, the location of the Virginia Historical Society and the Virginia Museum of Fine Arts. South of the Downtown Expressway are Byrd Park, Maymont, Hollywood Cemetery, the predominantly black working class Randolph neighborhood, and white working class Oregon Hill. Cary Street between Interstate 195 and the Boulevard is a popular commercial area called Carytown.",799,black,17002
